state,action,value
8/8/2K1k3/5N2/8/4b3/8/8 b - - 43 86,e3g5,0
8/8/2K1k3/5Nb1/8/8/8/8 w - - 44 87,c6b5,0
8/8/4k3/1K3Nb1/8/8/8/8 b - - 45 87,e6e5,0
8/8/8/1K2kNb1/8/8/8/8 w - - 46 88,b5c6,0
8/8/2K5/4kNb1/8/8/8/8 b - - 47 88,g5e7,0
8/4b3/2K5/4kN2/8/8/8/8 w - - 48 89,f5d6,0
8/4b3/2KN4/4k3/8/8/8/8 b - - 49 89,e7d8,0
3b4/8/2KN4/4k3/8/8/8/8 w - - 50 90,d6f5,0
3b4/8/2K5/4kN2/8/8/8/8 b - - 51 90,d8h4,0
8/8/2K5/4kN2/7b/8/8/8 w - - 52 91,f5g3,0
8/8/2K5/4k3/7b/6N1/8/8 b - - 53 91,h4e7,0
8/4b3/2K5/4k3/8/6N1/8/8 w - - 54 92,g3f5,0
8/4b3/2K5/4kN2/8/8/8/8 b - - 55 92,e7g5,0
8/8/2K5/4kNb1/8/8/8/8 w - - 56 93,c6c5,0
8/8/8/2K1kNb1/8/8/8/8 b - - 57 93,g5h4,0
8/8/8/2K1kN2/7b/8/8/8 w - - 58 94,f5d4,0
8/8/8/2K1k3/3N3b/8/8/8 b - - 59 94,h4e7,0
8/4b3/8/2K1k3/3N4/8/8/8 w - - 60 95,c5c4,0
8/4b3/8/4k3/2KN4/8/8/8 b - - 61 95,e7f6,0
8/8/5b2/4k3/2KN4/8/8/8 w - - 62 96,d4e2,0
8/8/5b2/4k3/2K5/8/4N3/8 b - - 63 96,e5e4,0
8/8/5b2/8/2K1k3/8/4N3/8 w - - 64 97,e2f4,0
8/8/5b2/8/2K1kN2/8/8/8 b - - 65 97,f6d4,0
8/8/8/8/2KbkN2/8/8/8 w - - 66 98,f4d3,0
8/8/8/8/2Kbk3/3N4/8/8 b - - 67 98,d4c5,0
8/8/8/2b5/2K1k3/3N4/8/8 w - - 68 99,d3f2,0
8/8/8/2b5/2K1k3/8/5N2/8 b - - 69 99,e4e5,0
8/8/8/2b1k3/2K5/8/5N2/8 w - - 70 100,f2d1,0
8/8/8/2b1k3/2K5/8/8/3N4 b - - 71 100,c5f2,0
8/8/8/4k3/2K5/8/5b2/3N4 w - - 72 101,d1c3,0
8/8/8/4k3/2K5/2N5/5b2/8 b - - 73 101,f2d4,0
8/8/8/4k3/2Kb4/2N5/8/8 w - - 74 102,c4b4,0
8/8/8/4k3/1K1b4/2N5/8/8 b - - 75 102,e5d6,0
8/8/3k4/8/1K1b4/2N5/8/8 w - - 76 103,b4b3,0
8/8/3k4/8/3b4/1KN5/8/8 b - - 77 103,d4a7,0
8/b7/3k4/8/8/1KN5/8/8 w - - 78 104,c3d5,0
8/b7/3k4/3N4/8/1K6/8/8 b - - 79 104,a7d4,0
8/8/3k4/3N4/3b4/1K6/8/8 w - - 80 105,b3b4,0
8/8/3k4/3N4/1K1b4/8/8/8 b - - 81 105,d4c3,0
8/8/3k4/3N4/1K6/2b5/8/8 w - - 82 106,b4b3,0
8/8/3k4/3N4/8/1Kb5/8/8 b - - 83 106,c3a1,0
8/8/3k4/3N4/8/1K6/8/b7 w - - 84 107,d5c3,0
8/8/3k4/8/8/1KN5/8/b7 b - - 85 107,a1b2,0
8/8/3k4/8/8/1KN5/1b6/8 w - - 86 108,c3b5,0
8/8/3k4/1N6/8/1K6/1b6/8 b - - 87 108,d6d5,0
8/8/8/1N1k4/8/1K6/1b6/8 w - - 88 109,b5d4,0
8/8/8/3k4/3N4/1K6/1b6/8 b - - 89 109,d5c5,0
8/8/8/2k5/3N4/1K6/1b6/8 w - - 90 110,b3c2,0
8/8/8/2k5/3N4/8/1bK5/8 b - - 91 110,b2c1,0
8/8/8/2k5/3N4/8/2K5/2b5 w - - 92 111,c2c3,0
8/8/8/2k5/3N4/2K5/8/2b5 b - - 93 111,c1f4,0
8/8/8/2k5/3N1b2/2K5/8/8 w - - 94 112,d4c6,0
8/8/2N5/2k5/5b2/2K5/8/8 b - - 95 112,f4e5,0
8/8/2N5/2k1b3/8/2K5/8/8 w - - 96 113,c3b3,0
8/8/2N5/2k1b3/8/1K6/8/8 b - - 97 113,e5h8,0
7b/8/2N5/2k5/8/1K6/8/8 w - - 98 114,c6a5,0
rnbqkb1r/ppp1p1p1/5p1n/3pP2p/5N2/5KP1/PPPP1P1P/RNBQ1B1R b kq - 1 7,c8g4,-689
rn1qkb1r/ppp1p1p1/5p1n/3pP2p/5Nb1/5KP1/PPPP1P1P/RNBQ1B1R w kq - 2 8,f3g2,-684
rn1qkb1r/ppp1p1p1/5p1n/3pP2p/5Nb1/6P1/PPPP1PKP/RNBQ1B1R b kq - 3 8,g4d1,-689
rn1qkb1r/ppp1p1p1/5p1n/3pP2p/5N2/6P1/PPPP1PKP/RNBb1B1R w kq - 0 9,f1b5,-692
rn1qkb1r/ppp1p1p1/5p1n/1B1pP2p/5N2/6P1/PPPP1PKP/RNBb3R b kq - 1 9,c7c6,-636
rn1qkb1r/pp2p1p1/2p2p1n/1B1pP2p/5N2/6P1/PPPP1PKP/RNBb3R w kq - 0 10,b5c6,-695
rn1qkb1r/pp2p1p1/2B2p1n/3pP2p/5N2/6P1/PPPP1PKP/RNBb3R b kq - 0 10,b8c6,-732
r2qkb1r/pp2p1p1/2n2p1n/3pP2p/5N2/6P1/PPPP1PKP/RNBb3R w kq - 0 11,h1d1,-744
r2qkb1r/pp2p1p1/2n2p1n/3pP2p/5N2/6P1/PPPP1PKP/RNBR4 b kq - 0 11,g7g5,-721
r2qkb1r/pp2p3/2n2p1n/3pP1pp/5N2/6P1/PPPP1PKP/RNBR4 w kq - 0 12,f4g6,-715
r2qkb1r/pp2p3/2n2pNn/3pP1pp/8/6P1/PPPP1PKP/RNBR4 b kq - 1 12,c6e5,-733
r2qkb1r/pp2p3/5pNn/3pn1pp/8/6P1/PPPP1PKP/RNBR4 w kq - 0 13,g6e5,-767
r2qkb1r/pp2p3/5p1n/3pN1pp/8/6P1/PPPP1PKP/RNBR4 b kq - 0 13,h6f5,-731
r2qkb1r/pp2p3/5p2/3pNnpp/8/6P1/PPPP1PKP/RNBR4 w kq - 1 14,e5g6,-696
r2qkb1r/pp2p3/5pN1/3p1npp/8/6P1/PPPP1PKP/RNBR4 b kq - 2 14,h8g8,-662
r2qkbr1/pp2p3/5pN1/3p1npp/8/6P1/PPPP1PKP/RNBR4 w q - 3 15,g6f8,-696
r2qkNr1/pp2p3/5p2/3p1npp/8/6P1/PPPP1PKP/RNBR4 b q - 0 15,g8f8,-736
r2qkr2/pp2p3/5p2/3p1npp/8/6P1/PPPP1PKP/RNBR4 w q - 0 16,d2d3,-707
r2qkr2/pp2p3/5p2/3p1npp/8/3P2P1/PPP2PKP/RNBR4 b q - 0 16,d5d4,-791
r2qkr2/pp2p3/5p2/5npp/3p4/3P2P1/PPP2PKP/RNBR4 w q - 0 17,c1g5,-645
r2qkr2/pp2p3/5p2/5nBp/3p4/3P2P1/PPP2PKP/RN1R4 b q - 0 17,d8c8,-644
r1q1kr2/pp2p3/5p2/5nBp/3p4/3P2P1/PPP2PKP/RN1R4 w q - 1 18,g5f6,-626
r1q1kr2/pp2p3/5B2/5n1p/3p4/3P2P1/PPP2PKP/RN1R4 b q - 0 18,f8f6,-653
r1q1k3/pp2p3/5r2/5n1p/3p4/3P2P1/PPP2PKP/RN1R4 w q - 0 19,b1d2,-633
r1q1k3/pp2p3/5r2/5n1p/3p4/3P2P1/PPPN1PKP/R2R4 b q - 1 19,f5h4,-625
r1q1k3/pp2p3/5r2/7p/3p3n/3P2P1/PPPN1PKP/R2R4 w q - 2 20,g2g1,-629
r1q1k3/pp2p3/5r2/7p/3p3n/3P2P1/PPPN1P1P/R2R2K1 b q - 3 20,c8h3,-3
r3k3/pp2p3/5r2/7p/3p3n/3P2Pq/PPPN1P1P/R2R2K1 w q - 4 21,g3h4,-2
r3k3/pp2p3/5r2/7p/3p3P/3P3q/PPPN1P1P/R2R2K1 b q - 0 21,f6g6,-2
r3k3/pp2p3/6r1/7p/3p3P/3P3q/PPPN1P1P/R2R2K1 w q - 1 22,g1h1,-1
r3k3/pp2p3/6r1/7p/3p3P/3P3q/PPPN1P1P/R2R3K b q - 2 22,h3g2,-1
rnbq1bnr/3ppk2/p4pp1/1pp4p/P1P1P3/5N1P/RP1PQPP1/1NB1KB1R w K - 2 8,a4b5,183
rnbq1bnr/3ppk2/p4pp1/1Pp4p/2P1P3/5N1P/RP1PQPP1/1NB1KB1R b K - 0 8,e7e6,169
rnbq1bnr/3p1k2/p3ppp1/1Pp4p/2P1P3/5N1P/RP1PQPP1/1NB1KB1R w K - 0 9,b1c3,174
rnbq1bnr/3p1k2/p3ppp1/1Pp4p/2P1P3/2N2N1P/RP1PQPP1/2B1KB1R b K - 1 9,c8b7,182
rn1q1bnr/1b1p1k2/p3ppp1/1Pp4p/2P1P3/2N2N1P/RP1PQPP1/2B1KB1R w K - 2 10,d2d4,190
rn1q1bnr/1b1p1k2/p3ppp1/1Pp4p/2PPP3/2N2N1P/RP2QPP1/2B1KB1R b K - 0 10,c5d4,190
rn1q1bnr/1b1p1k2/p3ppp1/1P5p/2PpP3/2N2N1P/RP2QPP1/2B1KB1R w K - 0 11,f3d4,193
rn1q1bnr/1b1p1k2/p3ppp1/1P5p/2PNP3/2N4P/RP2QPP1/2B1KB1R b K - 0 11,a6b5,207
rn1q1bnr/1b1p1k2/4ppp1/1p5p/2PNP3/2N4P/RP2QPP1/2B1KB1R w K - 0 12,a2a8,209
Rn1q1bnr/1b1p1k2/4ppp1/1p5p/2PNP3/2N4P/1P2QPP1/2B1KB1R b K - 0 12,b7a8,200
bn1q1bnr/3p1k2/4ppp1/1p5p/2PNP3/2N4P/1P2QPP1/2B1KB1R w K - 0 13,c4b5,201
bn1q1bnr/3p1k2/4ppp1/1P5p/3NP3/2N4P/1P2QPP1/2B1KB1R b K - 0 13,d7d5,203
bn1q1bnr/5k2/4ppp1/1P1p3p/3NP3/2N4P/1P2QPP1/2B1KB1R w K - 0 14,e2c2,235
